,message,label_maj
67,Doing my masters. When will you buy a bb cos i have for sale and how's bf,0
68,Just got outta class gonna go gym.,0
69,Ok... The theory test? when are 脤_ going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free,0
70,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p,1
71,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",1
72,"I grabbed a pair of @NisoloShoes Mendez flats for 60% off. The sale ends tonight, so get a move on! code:#winter60",1
73,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",0
74,Submit yr enrolment form to me in ub 714 or in 813  before 11.00 am.,0
75,"馃憤馃憤._*WELCOME TO THE 21ST CENTURY!*_锟�*Our Phones 馃憠 Wireless**Cooking -     馃憠  Fireless**Cars -          馃憠   Keyless**Food -         馃憠    Fatless**Tyres -        馃憠   Tubeless**Tools -          馃憠  Cordless**Dress -        馃憠 Sleeveless**Youth -      馃憠   Jobless**Leaders -  馃憠 Shameless**Relationships-馃憠Meaningless**Attitude -       馃憠  Careless**Wives -         馃憠   Fearless**Babies -      馃憠   Fatherless**Feelings -     馃憠   Heartless**Education -   馃憠  Valueless**Children -  馃憠  Mannerless**Government - 馃憠 Useless**PARLIAMENT-馃憠CLUELESS**MASSES -  馃憠 HELPLESS*_*Everything is becoming LESS but still our hope in God is - Endless.*_In fact I am *Speechless* Because Salvation remains *Priceless!!**If u don't share this, the message is worthless!*馃榾",1
76,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,1
77,"Thanks for your ringtone order, ref number R836. Your mobile will be charged 氓拢4.50. Should your tone not arrive please call customer services on 09065069154",1
78,"Doctor Patient Jokes - some bad news and some very bad news Doctor: ""I have some bad news and some very bad news.""Patient: ""Well, might as well give me the bad news first.""Doctor: ""The lab called with your test results. They said you have 24 hours to live.""Patient: ""24 Hours! Thats terrible! What could be worse? What's the very bad news?""Doctor: ""I've been trying to reach you since yesterday"".   Doctor Patient Jokes - A doctor, a lawyer and a manager were discussing   A doctor, a lawyer and a manager were discussing the relative merits of having a wife or a mistress. The lawyer says: ""For sure a mistress is better. If you have a wife and want a divorce, it causes all sorts of legal problems.""The doctor says: ""It's better to have a wife because the sense of security lowers your stress and is good for your health.""The manager says: ""You're both wrong. It's best to have both so that when the wife thinks you're with the mistress and the mistress thinks you're with your wife - you can go to the office and do some work",1
79,Send the details in whats app,0
80,ma'am is there any news about postponed date,0
81,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,0
82,Let's go for max capacity on 2nd,0
83,"If we are all on the same page, can we have Ayush sent it over.",0
84,I not at home now lei...,0
85,Dear studentsS Saturday 3rd March we are starting our 9 days CCC training programme.Sessions will happen for those who are attending GRE & e lab.Please check LMS -empower.srmuniv.ac.in  today evening  for Venue details.Hard copy attendance will be taken everyday,0
86,446 even I was present full day on 22nd January. Everyone from our section sitting in TP 401 has been marked absent. We filled the attendance form given by the CCC staff. Yesterday we didn't have any paper attendance in our room.,0
87,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \ &lt;#&gt;  lac crore\"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.\""""",1
88,"馃挍 *Weekend Special Offer* 馃挍鉁� The brand known for its Classic & Elegant designs - Emporio Armani 鉁� 馃専 Emporio Armani Classic Formal Model Available & Ready to ship today with 馃専# Emporio Armani# For Her# 7A# Model- Classics# Features-Working, chronograph, 24 hour country time, date chronograph, High End quality sapphire glass, top quality stainless steel - rose gold metal chain with clear white dial & battery operated machinery鉁� New Model with price updated & *Free Emporio Armani Original Box & booklet manual as shown* 鉁ˋvailable @ Rs 1999/- Free Shipping",1
89,Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).,0
90,She mentioned for December meet na..,0
91,I have attached the namelist for gre and e lab. Others are put in CCC,0
92,After completed degree. There is no use in joining finance.,0
93,Ok i will fwd. The list is freezed .,0
94,Maam In 8th Floor Which Room?,0
95,Life's never easy and it's never meant to be one. What makes it different is the task at hand - love / hate it will define your destiny. I would love to work on security instead of going to a place whose overall outcome is nothing but waste of resources 馃槈,1
96,Where are you lover ? I need you ...,1
97,"鈥淪adly enough, the most painful goodbyes are the ones that are left unsaid and never explained.鈥� ",1
98,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,1
99,"It's not difficult, even if u are 1 day old with AI bangalore",0
100,"While growing up, I had a lot of curiosity but very little clarity. I would see army men in their uniforms and think that this was the the only way to serve the country. But as my conversations with the saints and sadhus at the railway station grew deeper, I realised that this too was a world worth discovering.I was undecided, unguided and unclear -- I didn鈥檛 know where I wanted to go, what I wanted to do and why I wanted to do it. But all I knew, was that I wanted to do something. So I surrendered myself to God and left for the Himalayas at the age of 17. I bid goodbye to my parents as my mother gave me a sweet dish before I left and put a tilak on my forehead to bless my journey.I went wherever God wanted to take me -- it was an undecided period of my life but still, gave me so many answers. I sought to understand the world, to understand myself. I travelled far and wide, spent time at the Ramkrishna Mission, met sadhus and saints, stayed with them and began a discovery, inwards. I moved from place to place -- I had no roof above my head, but still never felt more at home.I would wake up during Brahma Mahurat, between 3 and 3:45 am, and take a bath in the freezing waters of the Himalayas, but still feel the warmth. I learnt that peace, oneness and Dhyan can be found, even in the simple sound of a waterfall. The sadhus I lived with taught me to align myself with the rhythm of the Universe.So that鈥檚 what I did -- I aligned and experienced revelations that help me till today. I realised that we鈥檙e all tied down by our thoughts and limitations. When you surrender and stand in front of the vastness -- you know that you鈥檙e a small part of a large universe. When you understand that, any trace of arrogance you have in you melts and then life truly begins.That鈥檚 when it all changed. After two years, I returned home with clarity and a guiding force to lead the way.After coming back from the Himalayas, I knew that I wanted my life to be one that is lived in the service of others. Within a short span of returning, I left for Ahmedabad. It was my first brush with living in a big city 鈥� the pace of life was very different. I began my time there by occasionally helping my uncle at his canteen.",1
101,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,1
102,Not in this paper. We will make such a robust and general case.,0
103,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",0
104,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,1
105,"鈥淛ust think! This whole world of ours is only a speck of mildew sprung up on a tiny planet, yet we think we can have something great - thoughts,, actions! They are all but grains of sand鈥� ",1
106,"and the most interesting part about Bank loans is.. 5 years back you were paying 11-12% interest for your home loan and now it has been reduced as low as 8.35%.. Those who borrowed a home loan more than 30 lakhs, they are enjoying minimum 12000 to 15000 reduction in their monthly EMI payments 馃槉",1
107,Every day i use to sleep after  &lt;#&gt;  so only.,0
108,Mmmm.... I cant wait to lick it!,0
109,Not blaming you... just saying to myself too,0
110,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",0
111,"With the dawn of the day, darkness has faded. May the day bring you renewed optimism and the determination to scale new heights.Good morning!",1
112,"Yo, the game almost over? Want to go to walmart soon",0
113,"""This session is intended for people who have run SSH command to login into a Linux Server at least once.""",0
114,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,0
115,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",1
116,*Reg no*: RA1511003010470*Open elective name*: Data Warehousing And Data Mining *open elective code*: 15IT340E *faculty name*: J. Sundara Kanchana(100902)*Offering dept*: IT,0
117,Course should be of min 30 hrs and 4 weeks,0
118,Actually there is no difference other than the size of the output paper,0
119,Guys pls like this page and ask ur friends too WEBSITE_URL,1
120,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,1
121,So what exactly is the proof now?,0
122,Flat no _202 Sumana manjunatha paid May month maintenance charges,0
123,Great News! Call FREEFONE 08006344447 to claim your guaranteed 氓拢1000 CASH or 氓拢2000 gift. Speak to a live operator NOW!,1
124,Thank you AMit for all your contribution,0
125,It will take some time for me to reply.,0
126,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,1
127,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",1
128,I'm gonna rip out my uterus.,0
129,"Latest News! Police station toilet stolen, cops have nothing to go on!",1
130,Puneet please transfer Rs 500 to association a/c & post it in the group,0
131,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",0
132,"Surat firm to give 600 cars as Diwali gifts, 2 to get keys from PMWEBSITE_URL inshorts",1
133,The secret of business is to know something that nobody else knows...!! Gm!!馃槉馃拹,1
134,"Every girl wants to be with him and every guy wants to be him, Deepak is a bad-ass xD",0
135,E&T Revised Schedule is out!WEBSITE_URL to book your tickets! 馃#SRMbyAGwww.srmbyag.cominstagram.com/srmbyag,1
136,tells u 2 call 09066358152 to claim 氓拢5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,1
137,I bought a new printer because it's cheaper than ink refills. Now I think about how long until new cars are cheaper than fuel.,1
138,"22nd June party hall blocked for Gopal,flat number 209",0
139,Yes .. But for some it will not be..,0
140,We have a good intuition as to what is done and how it's done. But I don't think we understand jargons,0
141,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,0
142,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,1
143,"*How Emotions Affect Our Health*Every cell in our body is intelligent to think and act. We have *60 trillion* cells in our body and our health depends a lot on the harmonic balance and cohesion of the cells with each other.In the movie _Eat, Pray, Love_, Julia Roberts visits a wise man in Bali, and he advises her not to try too hard to meditate. In fact, he suggests that meditation is nothing but smiling and the line that is a kicker, is ""Smile with your liver.""If you believe that this is just a metaphor, lets look at the other end of the spectrum to prove just how crucial this is.Let us say you hold a negative emotion towards somebody, something or some event in your life. Each time you think of that your whole body re-lives the emotional upheaval of that association.Your mind doesn't have a mind of its own, and doesn't know if the event is happening in real time or it is being replayed. So it produces the same stress hormones each time. Each and every cell of your body starts feeling the same emotion, of let us say ""hatred"" towards that event, person or experience all over again.The body is not at ease. This is a state where the condition of disease sets in.If you continue to live in that state, your cells are now getting conditioned to live in the same state.The Upanishads talk about *""Yatha Pinde Tatha Brahmande""* ...as is the atom so is the universe.The health of a person depends on how well all the systems of the body and the *60 trillion cells* play the melody of harmony together.When the cells are living in a state of hatred, they soon start exhibiting that with each other and killing healthy cells in the body. This leads to many forms of auto immune disease.Like Rumi said, ""you are not a drop in the ocean, you are an ocean in every drop"".Be careful of your thoughts, your feelings and your emotions.*Forgive people, not because they deserve it, but because you need it. Stay happy, stay healthy.* Have a wonderful healthy life ahead filled with the abundance of good health and happiness.*HAPPINESS  TO ALL*",1
144,I tot it's my group mate... Lucky i havent reply... Wat time do 脤_ need to leave...,0
145,I will give u the date later,0
146,*S K Chourasia* 啶ㄠ 啶嗋お啶曕 啶侧た啶� 啶曕啶� 啶啶溹ぞ 啶灌 啶啶侧 啶侧ぞ啶囙え 啶曕 啶熰 啶曕ぐ啶曕 啶︵啶栢馃憞馃憞 Indian-choice.com/?n=S-K-Chourasia,1
147,He telling not to tell any one. If so treat for me hi hi hi,0
148,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",1
149,Tmr timin still da same wat cos i got lesson until 6...,0
150,How did you find out in a way that didn't include all of these details,0
151,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",1
152,"Liter of Light, a team aaruush initiative.A campaign that brought about change.Where there was darknessNow there is LightWhere there was darknessNow there is HopeAaruush touched the lives of People and changed them forever.We at Aaruush believe in giving back to the society and our team quote ""None of us is as strong as all of us!WEBSITE_URL馃槀",1
153,*UNDER ARMOUR*Dri-fit lowerSurplus store  article100% ORIGNALWith 3 month garanteeSizes M L XL XXLColor- Blue and Black850/- free,1
154,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-),1
155,"Difference between a beautiful night and a horror night.Beautiful night is,When you hug your teddy bear and sleep.Horror night is,When your teddy bear hugs you BACK.",1
156,G05 - January maintainance done through,0
157,WIN a 氓拢200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 氓拢1.50perweeksub.,1
158,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,0
159,I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,1
160,"From Whatsapp:What a nice idea!Swiss Time BankA student studying in Switzerlandobserves:While studying inSwitzerland,I rented a house near the school.The landlady Kristina is a67-year-old singleold lady who had worked as a teacher in a secondary school before she retired.Switzerland's pension isvery good, enough to not worry herabout food and shelter in her later years.However, she actually found ""work"" - to take care of an 87-year-old single old man.I asked if she wasworking for money.Her answer surprised me: 鈥淚 do not work for money, but I put my time inthe 鈥榯ime bank鈥�, andwhen I cannot move in my old age,I could withdraw it.鈥漈he first time I heard about this concept of ""time bank"", I was verycurious and askedthe landlady more.The original 鈥淭ime Bank鈥� was an old-age pension program developedby the Swiss Federal Ministry of Social Security. People saved the'time' taking care ofthe elderly whenthey were younger, and when they were old, ill or needed care could withdraw it.Applicants must be healthy, good at communicatingand full of love.Everyday they have to look after the elderly who need help.Their service hours will be deposited into the personal 'time' accounts of the social security system.She went to work twice a week, spending twohours each time helping theelderly, shopping, cleaningtheir room, taking them out to sunbathe,chatting with them.According to the agreement, after one year of herservice, 鈥淭ime Bank鈥� will calculate her working hours and issue hera 鈥渢ime bank card鈥�.When she needs someone to take care of her,she can useher 鈥渢ime bank card鈥� to 鈥渢ime towithdraw 鈥渢ime and time interest鈥�. After the informationverification, 鈥淭ime Bank鈥� will assign other volunteers to take care of her at the hospital or her home.One day, I was in school and the landlady called and said she felloff the stool whenshe was wiping the window.I quickly took leave and sent her to the hospital for treatment.The landlady broke her ankle and needed to stay in bed for a while.While I was preparing toapply for a home to take care of her,the landlady told me that I need not worry about her.She had already submitted a withdrawal request to the 鈥淭ime Bank鈥�.Sure enough, in less than two hours ""Time Bank""sent a nursing worker to come and care for the landlady.In the following month, the care worker took careof the landlady everyday, chatted with her and made delicious meals for her.Under the meticulous careof the carer, the landlady soon recovered her health.After recovering, the landlady went back to ""work"".She said that she intends to save more time in the ""time bank"" while she is still healthy.Today, in Switzerland,the use of ""time banks"" to support old age has become a common practice.This not only saves the country pension expenses, but also solves other social problems.Many Swiss citizens are very supportive of this kind of old-age pensions.The survey conducted by the Swiss pension organization shows that more than half of Swiss people alsowant to participate in this type of old-age care service.The Swiss government also passed legislation to support the ""Time Bank"" pension scheme.At present the number of ""empty-nest old people"" in Asiancountries are increasing and it has graduallybecome a social problem.Switzerland style ""time bank"" pension may be a good option for us too.馃摨馃摨馃摨馃摨馃摨馃摨Wat an interesting concept..... hope it gets adapted all over d world soon!!! 馃檪馃檪",1
161,Should I tell my friend not to come round til like  &lt;#&gt; ish?,0
162,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0
163,Lol ... I knew that .... I saw him in the dollar store,0
164,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,0
165,"Teacher and Student Joke : what does the chicken give you?   Teacher: ""Kids,what does the chicken give you?"" Student: ""Meat!"" Teacher: ""Very good! Now what does the pig give you?"" Student: ""Bacon!"" Teacher: ""Great! And what does the fat cow give you?"" Student: ""Homework!"" 馃槃馃槃馃槃",1
166,Y so late but i need to go n get da laptop...,0
167,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",0
168,"鈥淪ometimes people let the same problem make them miserable for years when they could just say, ""So what.""""My mother didn't love me."" So what.""My husband won't ball me. So what.""I'm a success but I'm still alone."" So what.I don't know how I made it through all the years before I learned how to do that trick. It took a long time for me to learn it, but once you do, you never forget.鈥� ",1
169,Those who want to check attendance... Meet madam after 10:15,0
170,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",1
171,Yes it's thoughtworks. I am traveling will update soon,0
172,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",1
173,I just indulged in a Topbox. Click here and don鈥檛 miss out on the latest beauty finds! #topbox [referral_link] via @topboxca馃槉,1
174,"We plan to use pca's eigen vector as a parameter for classification. It would make sense for 0-20, 20-40 etc.",0
175,I love my new #Rocketbook! Get a #FREE 3-pack of Rocketpads when you buy a Rocketbook with my referral link: 馃槉,1
176,"Hi, I am using Quick Ride for daily commute. Inviting you to join the GO-GREEN network. Use promo code YKE47 at signup to get 10 points when you complete your first ride. Android: WEBSITE_URL iOS: WEBSITE_URL  - Ankur Soni",1
177,So u wan 2 come for our dinner tonight a not?,0
178,U wan 2 haf lunch i'm in da canteen now.,0
179,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",1
180,"Also note sounds very informal, . Make sure you call people directly if something needs to be reviewed right now..we can discuss this later.",0
181,Mam and which one is the personal details form?,0
182,Loot Lo Offer 馃馃      *ADIDAS*      *SUPREME*SIZES -  *mentioned on every picture**PRICE -  450Rs. FREE SHIP*馃槏馃槏,1
183,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX 氓拢1.50,1
